DistrictCode,RecID
1010108,496
1061994,13
1062026,5
1062042,12
1062109,13
1062117,2362
1062125,256
1062158,151
1062166,4547
1062240,124
1062257,69
1062265,496
1062281,55
1062323,12
1062331,351
1062356,25
1062364,198
1062372,10
1062380,307
1062414,743
1062430,403
1062513,29
1062539,45
1062547,270
1073809,152
1073965,892
1073999,265
1075127,185
1075234,98
1075275,85
1075408,96
1075598,87
1076778,172
1110116,78
1162554,12
1162596,10
1162638,11
1162646,13
1162653,12
1162661,81
1175481,129
1176562,48
1210124,83
1262679,89
1262687,129
1262695,4
1262703,14
1262729,6
1262737,11
1262745,36
1262794,14
1262810,65
1262828,22
1262836,8
1262851,3
1262885,12
1262893,26
1262901,84
1262919,3
1262927,8
1262935,2
1262950,68
1262968,4
1262976,40
1262984,4
1263008,21
1263024,13
1263032,68
1263040,45
1263057,13
1275374,41
1275382,10
1275515,243
1276802,91
1310132,103
1363073,212
1363081,101
1363099,471
1363107,72
1363115,228
1363123,15
1363131,70
1363149,108
1363164,209
1363180,63
1363198,26
1363206,5
1363214,56
1363222,20
1363230,24
1410140,87
1463248,23
1463271,8
1463289,18
1463297,9
1463305,10
1476687,115
1510157,482
1563313,184
1563321,1835
1563339,119
1563347,3
1563354,1
1563362,997
1563370,26
1563388,4
1563404,408
1563412,231
1563420,12
1563438,70
1563446,10
1563461,153
1563479,179
1563487,11
1563503,490
1563529,2091
1563545,59
1563552,80
1563560,141
1563578,221
1563586,3
1563594,24
1563610,14
1563628,849
1563651,8
1563669,7
1563677,153
1563685,107
1563693,217
1563719,13
1563750,332
1563768,13
1563776,216
1563784,14
1563792,176
1563800,126
1563818,72
1563826,221
1563834,41
1563842,193
1563859,89
1573544,60
1573742,303
1573908,192
1575168,39
1575630,30
1610165,110
1663875,300
1663883,119
1663891,190
1663917,328
1663925,200
1663933,21
1663941,36
1663958,70
1663966,19
1663974,185
1663982,123
1663990,82
1673932,140
1710173,7
1764014,109
1764022,193
1764030,91
1764048,19
1764055,300
1776976,53
1810181,23
1864089,11
1864105,19
1864113,13
1864139,43
1864162,29
1864170,10
1864188,11
1864196,64
1864204,11
1875036,20
1910199,1401
1964212,1072
1964246,1183
1964261,505
1964279,498
1964287,948
1964295,198
1964303,616
1964311,297
1964329,545
1964337,817
1964345,113
1964352,453
1964378,249
1964394,378
1964436,670
1964444,398
1964451,1148
1964469,282
1964477,188
1964485,463
1964501,449
1964519,488
1964527,465
1964535,189
1964550,275
1964568,1296
1964576,388
1964584,105
1964592,474
1964600,72
1964626,9
1964634,666
1964642,199
1964659,228
1964667,822
1964683,628
1964691,399
1964709,440
1964717,252
1964725,3810
1964733,38549
1964758,89
1964766,159
1964774,704
1964790,304
1964808,1253
1964816,353
1964832,377
1964840,1004
1964857,1315
1964865,606
1964873,885
1964881,958
1964907,1974
1964931,127
1964964,187
1964980,678
1964998,495
1965029,249
1965037,156
1965045,289
1965052,299
1965060,1317
1965078,55
1965094,988
1965102,466
1965110,281
1965128,563
1965136,1351
1965151,70
1973437,1361
1973445,1005
1973452,812
1973460,740
1975291,364
1975309,1408
1975333,368
1975341,523
1975663,45
1975697,58
1975713,944
1976547,25
1976869,274
1976885,20
1976968,25
1976992,11
1977081,37
2010207,151
2065177,19
2065185,51
2065193,117
2065201,61
2065243,1196
2065276,7
2075580,113
2075606,77
2076414,118
2110215,93
2165300,12
2165318,119
2165334,95
2165342,1
2165359,14
2165367,101
2165375,1
2165391,211
2165409,5
2165417,466
2165425,95
2165433,40
2165458,281
2165466,154
2165474,33
2165482,353
2175002,132
2177065,10
2210223,15
2265532,130
2310231,33
2365540,43
2365557,21
2365565,137
2365573,6
2365581,51
2365599,18
2365607,37
2365615,430
2365623,130
2373866,20
2373916,34
2375218,13
2410249,218
2465631,272
2465649,23
2465680,9
2465698,146
2465722,21
2465730,33
2465748,141
2465755,560
2465763,52
2465771,608
2465789,574
2465813,6
2465821,44
2465839,5
2465862,161
2465870,108
2473619,101
2473726,11
2475317,135
2475366,141
2510256,22
2565896,10
2573585,53
2573593,28
2610264,28
2673668,40
2673692,69
2710272,212
2765961,417
2765979,203
2765987,189
2765995,20
2766027,2
2766035,202
2766050,161
2766068,122
2766076,6
2766084,9
2766092,658
2766134,144
2766142,486
2766159,866
2766167,10
2766175,7
2766183,5
2766191,143
2766225,56
2766233,46
2773825,262
2775150,12
2775440,276
2775473,136
2810280,81
2866241,64
2866258,8
2866266,1070
2866282,6
2866290,106
2910298,216
2966316,15
2966324,12
2966332,118
2966340,57
2966357,191
2966373,66
2966407,43
2966415,9
2976877,34
3010306,612
3066423,1031
3066431,1347
3066449,303
3066456,242
3066464,2502
3066472,211
3066480,202
3066498,301
3066506,657
3066514,635
3066522,2268
3066530,342
3066548,786
3066555,184
3066563,251
3066589,343
3066597,1286
3066613,417
3066621,1415
3066647,1251
3066670,2664
3066696,131
3066746,524
3073635,1236
3073643,1144
3073650,1744
3073924,476
3076893,43
